"學年度","學校代碼","學校名稱","科系代碼","科系名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男生","一年級女生","二年級男生","二年級女生","三年級男生","三年級女生","四年級男生","四年級女生","五年級男生","五年級女生","六年級男生","六年級女生","七年級男生","七年級女生","延修生男生","延修生女生","縣市名稱","體系別"
112,0001,國立政治大學,04111059,會計學系,D 日,B 學士,395,177,218,35,52,40,47,37,58,51,50,0,0,0,0,0,0,14,11,30 臺北市,1 一般
112,0001,國立政治大學,04121065,財務管理學系,D 日,D 博士,12,5,7,2,2,0,2,1,1,2,0,0,1,0,1,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04121065,財務管理學系,D 日,M 碩士,91,50,41,25,16,19,20,5,3,1,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04121065,財務管理學系,D 日,B 學士,212,97,115,22,28,25,23,20,32,22,26,0,0,0,0,0,0,8,6,30 臺北市,1 一般
112,0001,國立政治大學,04121068,金融學系,D 日,D 博士,21,19,2,4,0,3,0,1,0,3,2,4,0,2,0,2,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04121068,金融學系,D 日,M 碩士,77,53,24,24,14,24,9,4,1,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04121068,金融學系,D 日,B 學士,259,136,123,27,33,29,30,34,27,37,24,0,0,0,0,0,0,9,9,30 臺北市,1 一般
112,0001,國立政治大學,04122070,財政學系,D 日,D 博士,4,3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04122070,財政學系,D 日,M 碩士,71,27,44,12,20,11,20,4,2,0,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04122070,財政學系,D 日,B 學士,380,157,223,32,53,35,56,38,57,43,45,0,0,0,0,0,0,9,12,30 臺北市,1 一般
112,0001,國立政治大學,04123069,風險管理與保險學系,D 日,D 博士,13,10,3,0,1,1,0,1,1,1,0,3,0,1,0,3,1,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04123069,風險管理與保險學系,D 日,M 碩士,75,39,36,18,13,16,17,5,5,0,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04123069,風險管理與保險學系,D 日,B 學士,220,106,114,28,20,22,26,22,38,27,22,0,0,0,0,0,0,7,8,30 臺北市,1 一般
112,0001,國立政治大學,04131060,企業管理學系,D 日,D 博士,55,29,26,3,5,2,8,7,7,5,1,4,1,2,2,6,2,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),D 日,M 碩士,251,96,155,41,66,38,61,9,18,8,10,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04131060,企業管理學系,D 日,B 學士,442,183,259,46,52,45,61,37,64,44,61,0,0,0,0,0,0,11,21,30 臺北市,1 一般
112,0001,國立政治大學,04131062,經營管理碩士學程高階經營班,N 職,M 碩士,491,299,192,99,75,104,71,57,26,23,15,16,5,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04131062,經營管理碩士學程全球華商班,N 職,M 碩士,101,57,44,23,15,16,17,11,10,6,1,1,1,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,D 日,M 碩士,125,56,69,27,31,20,25,8,9,1,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04131091,創新國際學院學士班,D 日,B 學士,157,55,102,18,31,12,37,13,24,12,10,0,0,0,0,0,0,0,0,30 臺北市,1 一般
